0.0
[-1997.0, -1518.0][-1997.0, -1518.0]
[-1992.0, -1941.0][-1992.0, -1941.0]
[-1984.0, -1216.0][-1984.0, -1216.0]
[-1969.0, -412.0][-1969.0, -412.0]
[-1947.0, 950.0][-1947.0, 950.0]
[-1933.0, -1874.0][-1933.0, -1874.0]
[-1925.0, 367.0][-1925.0, 367.0]
[-1923.0, 1062.0][-1923.0, 1062.0]
[-1901.0, 1613.0][-1901.0, 1613.0]
[-1877.0, 1657.0][-1877.0, 1657.0]
[-1872.0, 400.0][-1872.0, 400.0]
[-1806.0, 420.0][-1806.0, 420.0]
[-1784.0, -680.0][-1784.0, -680.0]
[-1768.0, -469.0][-1768.0, -469.0]
[-1747.0, -74.0][-1747.0, -74.0]
[-1694.0, 1177.0][-1694.0, 1177.0]
[-1654.0, -1338.0][-1654.0, -1338.0]
[-1638.0, 702.0][-1638.0, 702.0]
[-1630.0, -275.0][-1630.0, -275.0]
[-1629.0, 1231.0][-1629.0, 1231.0]
[-1624.0, -455.0][-1624.0, -455.0]
[-1589.0, 1356.0][-1589.0, 1356.0]
[-1587.0, 1897.0][-1587.0, 1897.0]
[-1535.0, -43.0][-1535.0, -43.0]
[-1533.0, -81.0][-1533.0, -81.0]
[-1511.0, -1967.0][-1511.0, -1967.0]
[-1486.0, -483.0][-1486.0, -483.0]
[-1484.0, 1396.0][-1484.0, 1396.0]
[-1477.0, -1826.0][-1477.0, -1826.0]
[-1474.0, -1086.0][-1474.0, -1086.0]
[-1435.0, 51.0][-1435.0, 51.0]
[-1431.0, -681.0][-1431.0, -681.0]
[-1407.0, -1498.0][-1407.0, -1498.0]
[-1329.0, 1147.0][-1329.0, 1147.0]
[-1321.0, 842.0][-1321.0, 842.0]
[-1307.0, 564.0][-1307.0, 564.0]
[-1305.0, -1823.0][-1305.0, -1823.0]
[-1302.0, 413.0][-1302.0, 413.0]
[-1257.0, 1542.0][-1257.0, 1542.0]
[-1214.0, -1699.0][-1214.0, -1699.0]
[-1204.0, 1077.0][-1204.0, 1077.0]
[-1202.0, 752.0][-1202.0, 752.0]
[-1174.0, 380.0][-1174.0, 380.0]
[-1168.0, 1163.0][-1168.0, 1163.0]
[-1164.0, 470.0][-1164.0, 470.0]
[-1156.0, 420.0][-1156.0, 420.0]
[-942.0, -361.0][-942.0, -361.0]
[-936.0, 1054.0][-936.0, 1054.0]
[-926.0, -843.0][-926.0, -843.0]
[-920.0, 1071.0][-920.0, 1071.0]
[-907.0, 1718.0][-907.0, 1718.0]
[-887.0, 1138.0][-887.0, 1138.0]
[-887.0, 1255.0][-887.0, 1255.0]
[-868.0, -315.0][-868.0, -315.0]
[-866.0, -1874.0][-866.0, -1874.0]
[-838.0, 1470.0][-838.0, 1470.0]
[-799.0, 1407.0][-799.0, 1407.0]
[-746.0, 1948.0][-746.0, 1948.0]
[-725.0, -1172.0][-725.0, -1172.0]
[-682.0, 1154.0][-682.0, 1154.0]
[-655.0, 1024.0][-655.0, 1024.0]
[-652.0, 997.0][-652.0, 997.0]
[-633.0, -852.0][-633.0, -852.0]
[-616.0, 42.0][-616.0, 42.0]
[-612.0, -740.0][-612.0, -740.0]
[-592.0, -736.0][-592.0, -736.0]
[-590.0, 1701.0][-590.0, 1701.0]
[-587.0, -1849.0][-587.0, -1849.0]
[-574.0, -1362.0][-574.0, -1362.0]
[-532.0, 420.0][-532.0, 420.0]
[-531.0, -1075.0][-531.0, -1075.0]
[-517.0, 557.0][-517.0, 557.0]
[-487.0, 1761.0][-487.0, 1761.0]
[-481.0, -571.0][-481.0, -571.0]
[-473.0, -168.0][-473.0, -168.0]
[-466.0, -524.0][-466.0, -524.0]
[-458.0, 1795.0][-458.0, 1795.0]
[-382.0, 1161.0][-382.0, 1161.0]
[-351.0, -76.0][-351.0, -76.0]
[-233.0, -1262.0][-233.0, -1262.0]
[-228.0, -1202.0][-228.0, -1202.0]
[-227.0, 279.0][-227.0, 279.0]
[-208.0, -181.0][-208.0, -181.0]
[-207.0, -1117.0][-207.0, -1117.0]
[-205.0, 410.0][-205.0, 410.0]
[-139.0, -474.0][-139.0, -474.0]
[-126.0, 270.0][-126.0, 270.0]
[-118.0, -576.0][-118.0, -576.0]
[-80.0, -1665.0][-80.0, -1665.0]
[-67.0, -229.0][-67.0, -229.0]
[-66.0, 1249.0][-66.0, 1249.0]
[-39.0, 1696.0][-39.0, 1696.0]
[-38.0, 1017.0][-38.0, 1017.0]
[-4.0, -1672.0][-4.0, -1672.0]
[-2.0, 887.0][-2.0, 887.0]
[14.0, -1504.0][14.0, -1504.0]
[14.0, 903.0][14.0, 903.0]
[35.0, 999.0][35.0, 999.0]
[36.0, 523.0][36.0, 523.0]
[48.0, -1394.0][48.0, -1394.0]
[77.0, 1108.0][77.0, 1108.0]
[85.0, -1855.0][85.0, -1855.0]
[103.0, -1102.0][103.0, -1102.0]
[113.0, 443.0][113.0, 443.0]
[121.0, 1739.0][121.0, 1739.0]
[134.0, -760.0][134.0, -760.0]
[155.0, 1690.0][155.0, 1690.0]
[170.0, 1979.0][170.0, 1979.0]
[232.0, 801.0][232.0, 801.0]
[237.0, 643.0][237.0, 643.0]
[297.0, 723.0][297.0, 723.0]
[317.0, 593.0][317.0, 593.0]
[325.0, -849.0][325.0, -849.0]
[326.0, 727.0][326.0, 727.0]
[356.0, 1983.0][356.0, 1983.0]
